code,num
C1072,43.94354902237445
C1128,33.20057010466251
C1456,57.041660788292575
C1840,47.4972141280073
C1332,14.463653763694404
C1563,162.57379417037546
C1794,52.72127517137698
C1640,609.3158959232277
C1377,446.7407216622648
C2072,105.48506846486087
C1472,127.85939908564232
C1006,33.20057010466251
C1083,647.4034790382294
C1311,56.92460268473536
C2676,71.82880507035357
C2318,56.92460268473536
C1603,71.82880507035357
C2523,173.05185876849873
C2177,107.13495226895242
C2411,659.2204459672394
C2033,17.324635990535675
C1604,283.82121466240795
C2535,71.82880507035357
C1040,34.345862171160626
C2417,169.5110157372052
C1812,231.32969478933333
C2253,647.4034790382294
C1294,169.78580122354404
C1772,130.11836302475328
C2646,131.86856449565758
C1152,126.67013556641996
C2423,232.61127747614253
C1844,222.67049031928306
C1318,190.03316805306653
C1729,130.36552722166127
C1602,161.49480318310464
C1239,14.463653763694404
C1721,466.0060237705336
C1902,465.38214708568927
C1855,570.3556500701791
C2600,127.85939908564232
C1071,344.4956052522386
C2295,283.82121466240795
C1621,258.3212051699987
C1852,283.82121466240795
C2555,353.7826478788924
C1297,232.61127747614253
C2323,607.7366172903812
C2215,461.8975081832279
C2112,215.2205703233286
C1830,211.36067142349114
C2602,332.8944534301559
C2608,54.27233019680054
C1215,585.1899557322913
C2369,517.8845792616555
C1158,641.1455662205635
C1887,288.6577575352344
C1189,641.1455662205635
C1637,44.47175058850858
C1225,317.87838826963974
C2374,317.87838826963974
C2397,178.6830345286021
C1105,231.32969478933333
C1782,165.18132866604768
C1629,238.92914764445683
C1708,56.92460268473536
C2144,265.92111468705224
C1617,593.101397205747
C1149,493.93803185408086
C1323,625.6975089902324
C1064,131.33532054003663
C1019,486.4647116642111
C2269,34.345862171160626
C1416,547.9651071450484
C1250,617.4406070113453
C1741,661.8646629834428
C1016,122.40899460136647
C2675,307.47424398894236
C2436,493.93803185408086
C2039,307.47424398894236
C1253,121.09152486537415
C2028,567.591655387495
C1166,337.9612450363051
C1135,397.65364159574005
C1216,435.04774801011916
C1593,555.928980185449
C1826,337.86577868910643
C1827,555.928980185449
C1564,670.3117234706625
C1495,122.65336578650492
C2653,397.65364159574005
C1392,122.65336578650492
C2128,207.27247279797197
C1282,52.72127517137698
C1521,99.69683054166278
C2076,71.82880507035357
C1060,128.84254944093345
C2473,231.32969478933333
C2557,165.18132866604768
C1835,83.51660065194416
C2224,235.31102290448845
C2222,645.3543888076778
C2430,47.54367516182479
C2497,140.8814404441618
C1494,233.86231306903434
